Duration (in seconds),Participation,Q1,Q2,Q3,Q4,Q5,I6,I7,I8,I9,I10,I11,I12,U6,U7,U8,U9,U10,U11,U12
187,Yes,Male,Bachelor's Degree,Asian,Hillary Clinton,7,1,1,1,7,7,7,7,,,,,,,
158,Yes,Male,Bachelor's Degree,Asian,Did not vote,4,,,,,,,,1,5,4,5,4,4.5,4
194,Yes,Male,Bachelor's Degree,Asian,Hillary Clinton,5,2,1,3.5,4,4,2,4,,,,,,,
139,Yes,Male,Bachelor's Degree,Hispanic or Latino,Hillary Clinton,2,,,,,,,,1.8,1.4,1.9,6.1,5.1,3.5,4
470,Yes,Male,Bachelor's Degree,Hispanic or Latino,Donald Trump,1.9,,,,,,,,7,7,7,1,1,1,5.1
159,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,7,,,,,,,,7,2.2,7,1.1,1.1,1.1,2.4
101,Yes,Female,Some College,Hispanic or Latino,Hillary Clinton,7,,,,,,,,1,1,1,6.2,5.9,6,3.9
160,Yes,Male,Some College,African American or Black,Other,5.5,5.1,2.1,1.8,1.9,1.6,1,5.8,,,,,,,
176,Yes,Male,Master's Degree,Caucasian or White,Hillary Clinton,3.1,1,1,1.5,2,2,1.5,4,,,,,,,
177,Yes,Male,Some College,Caucasian or White,Did not vote,1.1,1.1,1.1,1.1,6,6,3,6,,,,,,,
242,Yes,Female,Some College,Caucasian or White,Donald Trump,7,,,,,,,,7,1,4,1,1,1,3
150,Yes,Female,Bachelor's Degree,Caucasian or White,Other,5.5,2.3,2.3,4.2,4.7,4.8,4.9,4.5,,,,,,,
292,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,5.1,3.5,4.7,5.3,3.2,3,4.9,5.1,,,,,,,
162,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.6,,,,,,,,1,1,1,5.9,6,4.1,4.6
266,Yes,Female,Some College,Hispanic or Latino,Did not vote,6,,,,,,,,2,1,1,5,3,1,5
